Date,ASIANPAINT.csv,AXISBANK.csv,BAJAJFINSV.csv,BAJFINANCE.csv,BHARTIARTL.csv,HCLTECH.csv,HDFCBANK.csv,HINDUNILVR.csv,ICICIBANK.csv,INDUSINDBK.csv,INFY.csv,ITC.csv,JSWSTEEL.csv,KOTAKBANK.csv,LT.csv,M&M.csv,MARUTI.csv,NESTLEIND.csv,NTPC.csv,POWERGRID.csv,RELIANCE.csv,SBIN.csv,SUNPHARMA.csv,TATAMOTORS.csv,TATASTEEL.csv,TCS.csv,TECHM.csv,TITAN.csv,ULTRACEMCO.csv,WIPRO.csv
10-05-2019,1340.949951,733.650024,738.945007,2921.449951,324.149994,543.025024,1148.375,1687.099976,384.799988,1440.599976,716.049988,297.700012,286.899994,1395.050049,1355.25,629.349976,6624.25,1023.784973,127.150002,104.34375,1250.5,308.049988,438,186,48.73,2135.550049,805.75,1131.800049,4434.200195,290.549988
13-05-2019,1332.900024,732.349976,734.659973,2928.550049,318.549988,541.400024,1144.699951,1701.75,376.200012,1394.5,720.049988,289.850006,277.049988,1389.949951,1317.199951,618.599976,6525.299805,1031.655029,123.650002,102.628128,1230.849976,306.75,396.850006,180.25,47.16,2131.100098,815.299988,1143.75,4342.25,289.25
14-05-2019,1318.849976,731.5,736.900024,2884.050049,335.75,532.974976,1145.099976,1694.400024,380.799988,1430.449951,713.849976,294,280.350006,1384.800049,1341.5,616.049988,6569.549805,1021.469971,125.5,102.262497,1259.5,313.899994,420.149994,184.350006,46.974998,2094.350098,791.099976,1153.400024,4419.649902,284.299988
15-05-2019,1307.150024,721.25,746.530029,3002.550049,331,533.974976,1144.449951,1671,377.049988,1378.099976,716.5,297.100006,268.5,1396.75,1325.900024,610.650024,6484.950195,1028.140015,123.849998,100.574997,1257.25,311.600006,408.950012,169.600006,46.32,2094.5,789.549988,1158.849976,4347.5,283.649994
16-05-2019,1307,732.25,762.659973,3111.800049,325.450012,536.974976,1156.900024,1686.150024,381.799988,1359.199951,734.200012,294.700012,276.049988,1413.849976,1336.900024,606.799988,6478.450195,1028.405029,125.849998,102.290627,1264.050049,315.200012,411.049988,175.5,46.924999,2109.449951,789.299988,1183.400024,4502.799805,285.799988
17-05-2019,1318.150024,748.150024,799.299988,3301.199951,328.200012,530.799988,1180.824951,1735.75,390.299988,1373.849976,723.799988,301.399994,276.299988,1460.699951,1361.900024,621.25,6707.200195,1045.26001,125.800003,102.431252,1265.699951,318.950012,408,176.699997,46.955002,2096.350098,787.150024,1190.25,4491.899902,286.75
20-05-2019,1372.75,782.75,821.809998,3406.699951,339.850006,535.400024,1216.474976,1772.550049,407.799988,1492.599976,722.400024,307,285.75,1502,1451.050049,654.25,7088.350098,1078.119995,129.149994,105.75,1325.5,344.600006,413.850006,190,48.314999,2139.300049,779,1230.75,4767.149902,290.049988
21-05-2019,1358.550049,773.099976,818.5,3432.649902,330.799988,528.474976,1201.900024,1783.5,400.350006,1447.550049,709.200012,305.299988,279.75,1487.199951,1448.199951,638.799988,6857.799805,1059.569946,128.449997,103.5,1339.75,337.549988,408.700012,176.600006,47.349998,2109.199951,773.450012,1248.349976,4648.600098,286.850006
22-05-2019,1366.75,779.299988,822.265015,3447.699951,335.049988,529.599976,1202.550049,1766.150024,405.5,1517.550049,709.200012,299.549988,276.899994,1495.5,1460.550049,640.950012,6904.100098,1068.98999,129.600006,102.431252,1340.699951,340.850006,420.649994,179.449997,47.369999,2082.75,750,1240.449951,4646.950195,283.200012
23-05-2019,1369.449951,777.049988,803.299988,3377.949951,338.399994,533.299988,1167.175049,1750.949951,410.600006,1596.849976,701.25,288.5,276.049988,1500.699951,1475.699951,639.5,6932.799805,1076.439941,129.899994,103.753128,1335.800049,342.299988,413.25,175,46.59,2053.75,743,1219.150024,4673.049805,282.149994
24-05-2019,1385.550049,793.650024,815.195007,3466.149902,353.299988,530.825012,1186.150024,1749.199951,431.5,1649.849976,709.450012,290.149994,287.649994,1513.849976,1543.650024,663.900024,7096.149902,1069.234985,129.199997,104.428123,1336.800049,354.600006,415.549988,182.149994,48.349998,2049.649902,736,1221.300049,4796.350098,283.149994
27-05-2019,1365.699951,812.450012,820.755005,3447.5,350,531.974976,1204.050049,1768.550049,435.200012,1610.75,709.099976,290.399994,287.799988,1526.550049,1592.599976,676.25,7062.700195,1100.785034,133.350006,105.215622,1310.699951,361.450012,414.700012,181.350006,51.145,2053.800049,725.099976,1239.300049,4837.450195,280.450012
28-05-2019,1366.300049,808.75,814.13501,3412.350098,345.649994,536.224976,1208.125,1773.5,434.5,1618.599976,726.650024,289,293.600006,1514.349976,1573.650024,670.599976,7051.399902,1114.75,132.75,106.537498,1325.949951,360.399994,412.899994,180.75,50.73,2075,739.549988,1233.300049,4785.25,284.299988
29-05-2019,1359.349976,804.799988,813.414978,3410.25,338.700012,542.25,1207.875,1778.349976,422.899994,1607.849976,727.349976,288.350006,280.549988,1515.349976,1552.400024,672.25,6887.049805,1117.954956,130.850006,107.043747,1313.25,348.549988,422.850006,176.300003,49.330002,2105.25,738.849976,1235.5,4719.549805,285.899994
30-05-2019,1373.349976,808.099976,822.070007,3480.75,346.600006,538.549988,1219.625,1784,426.450012,1586.099976,733.299988,289.100006,276.600006,1533.5,1558.25,661.450012,6858.75,1129.109985,135.350006,107.521873,1330.599976,353.649994,412.75,175.050003,48.91,2145.399902,735.549988,1240.900024,4756.899902,288.299988
31-05-2019,1406.699951,808.5,817.984985,3469.699951,348.5,546.75,1212.449951,1785.150024,423.399994,1604.5,736.849976,278.649994,271.549988,1519.699951,1557.949951,647.099976,6863.649902,1148.665039,133.199997,106.396873,1329.75,352.549988,409.5,172.5,48.790001,2196.850098,760.400024,1233.550049,4757.649902,286.549988
03-06-2019,1458,812.299988,832.960022,3510.75,353.049988,555.625,1227.275024,1837,422.850006,1663.849976,744.650024,278.549988,274.549988,1530.849976,1559.300049,653.900024,7032.600098,1169.155029,133.050003,108.28125,1358.300049,354.899994,416.600006,174.550003,49.650002,2240.350098,757.799988,1264.599976,4769.799805,291.299988
